id,Longitude,Latitude
메타세쿼이아,127.105,37.49
메타세쿼이아,127.071,37.494
메타세쿼이아,127.056,37.489
메타세쿼이아,127.044,37.481
메타세쿼이아,127.071,37.494
메타세쿼이아,127.058,37.489
메타세쿼이아,127.055,37.487
메타세쿼이아,127.048,37.483
메타세쿼이아,127.056,37.488
메타세쿼이아,127.064,37.491
메타세쿼이아,127.068,37.492
메타세쿼이아,127.058,37.489
메타세쿼이아,127.069,37.492
메타세쿼이아,127.066,37.491
메타세쿼이아,127.105,37.49
메타세쿼이아,127.069,37.492
메타세쿼이아,127.047,37.483
메타세쿼이아,127.059,37.49
메타세쿼이아,127.054,37.487
메타세쿼이아,127.046,37.482
메타세쿼이아,127.104,37.491
메타세쿼이아,127.045,37.482
메타세쿼이아,127.063,37.49
메타세쿼이아,127.055,37.487
메타세쿼이아,127.057,37.489
메타세쿼이아,127.07,37.493
메타세쿼이아,127.103,37.491
메타세쿼이아,127.046,37.482
메타세쿼이아,127.055,37.487
메타세쿼이아,127.061,37.49
메타세쿼이아,127.058,37.489
메타세쿼이아,127.058,37.489
메타세쿼이아,127.05,37.485
메타세쿼이아,127.103,37.492
메타세쿼이아,127.054,37.487
메타세쿼이아,127.053,37.486
메타세쿼이아,127.07,37.493
메타세쿼이아,127.056,37.488
메타세쿼이아,127.054,37.487
메타세쿼이아,127.046,37.482
메타세쿼이아,127.066,37.491
메타세쿼이아,127.055,37.487
메타세쿼이아,127.069,37.492
메타세쿼이아,127.065,37.491
메타세쿼이아,127.06,37.49
메타세쿼이아,127.057,37.489
메타세쿼이아,127.07,37.493
메타세쿼이아,127.104,37.491
메타세쿼이아,127.103,37.491
메타세쿼이아,127.044,37.481
메타세쿼이아,127.045,37.482
메타세쿼이아,127.07,37.493
메타세쿼이아,127.052,37.486
메타세쿼이아,127.066,37.491
메타세쿼이아,127.049,37.484
메타세쿼이아,127.051,37.485
메타세쿼이아,127.069,37.492
메타세쿼이아,127.07,37.493
메타세쿼이아,127.065,37.491
메타세쿼이아,127.071,37.494
메타세쿼이아,127.05,37.485
메타세쿼이아,127.05,37.485
메타세쿼이아,127.049,37.484
메타세쿼이아,127.064,37.49
메타세쿼이아,127.068,37.491
메타세쿼이아,127.104,37.491
메타세쿼이아,127.047,37.482
메타세쿼이아,127.05,37.485
메타세쿼이아,127.049,37.484
메타세쿼이아,127.059,37.49
메타세쿼이아,127.061,37.49
메타세쿼이아,127.063,37.49
메타세쿼이아,127.046,37.482
메타세쿼이아,127.048,37.483
메타세쿼이아,127.058,37.489
메타세쿼이아,127.056,37.488
메타세쿼이아,127.046,37.482
메타세쿼이아,127.052,37.486
메타세쿼이아,127.103,37.491
메타세쿼이아,127.062,37.49
메타세쿼이아,127.103,37.491
메타세쿼이아,127.052,37.486
메타세쿼이아,127.068,37.491
메타세쿼이아,127.06,37.49
메타세쿼이아,127.104,37.491
메타세쿼이아,127.07,37.493
메타세쿼이아,127.05,37.485
메타세쿼이아,127.045,37.482
메타세쿼이아,127.071,37.494
메타세쿼이아,127.07,37.493
메타세쿼이아,127.104,37.491
메타세쿼이아,127.055,37.488
메타세쿼이아,127.056,37.488
메타세쿼이아,127.05,37.485
메타세쿼이아,127.058,37.489
메타세쿼이아,127.062,37.49
메타세쿼이아,127.052,37.486
메타세쿼이아,127.045,37.482
메타세쿼이아,127.057,37.489
메타세쿼이아,127.053,37.487
메타세쿼이아,127.07,37.493
메타세쿼이아,127.069,37.492
메타세쿼이아,127.065,37.491
메타세쿼이아,127.067,37.491
메타세쿼이아,127.064,37.491
메타세쿼이아,127.068,37.492
메타세쿼이아,127.049,37.484
메타세쿼이아,127.049,37.484
메타세쿼이아,127.056,37.488
메타세쿼이아,127.066,37.491
메타세쿼이아,127.07,37.493
메타세쿼이아,127.067,37.491
메타세쿼이아,127.046,37.482
메타세쿼이아,127.048,37.484
메타세쿼이아,127.068,37.491
메타세쿼이아,127.058,37.489
메타세쿼이아,127.104,37.491
메타세쿼이아,127.062,37.49
메타세쿼이아,127.047,37.483
메타세쿼이아,127.068,37.491
메타세쿼이아,127.068,37.491
메타세쿼이아,127.103,37.491
메타세쿼이아,127.067,37.491
메타세쿼이아,127.069,37.492
메타세쿼이아,127.06,37.49
메타세쿼이아,127.06,37.49
메타세쿼이아,127.067,37.491
메타세쿼이아,127.045,37.481
메타세쿼이아,127.06,37.49
메타세쿼이아,127.103,37.491
메타세쿼이아,127.049,37.484
메타세쿼이아,127.063,37.49
메타세쿼이아,127.062,37.49
메타세쿼이아,127.068,37.491
메타세쿼이아,127.053,37.487
메타세쿼이아,127.105,37.49
메타세쿼이아,127.056,37.488
메타세쿼이아,127.069,37.492
메타세쿼이아,127.045,37.482
메타세쿼이아,127.057,37.489
메타세쿼이아,127.067,37.491
메타세쿼이아,127.047,37.483
메타세쿼이아,127.05,37.484
메타세쿼이아,127.056,37.488
메타세쿼이아,127.104,37.491
메타세쿼이아,127.066,37.491
메타세쿼이아,127.044,37.481
메타세쿼이아,127.052,37.486
메타세쿼이아,127.06,37.49
메타세쿼이아,127.104,37.49
메타세쿼이아,127.058,37.489
메타세쿼이아,127.056,37.488
메타세쿼이아,127.045,37.482
메타세쿼이아,127.055,37.487
메타세쿼이아,127.068,37.492
메타세쿼이아,127.053,37.486
메타세쿼이아,127.054,37.487
메타세쿼이아,127.054,37.487
